Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
19318999,Difendere la Terra di Mezzo. Scritti su J.R.R. Tolkien,Wu Ming 4,"4, Wu Ming",Tom Shippey,"=""8862881932""","=""9788862881937""",0,4.19,Odoya,Paperback,288,2013,2013,,2019/02/11,to-read,to-read (#30),to-read,,,,0,0
39672236,La vita merita di essere vissuta: La luce della fede nelle tenebre del mondo,Fulton J. Sheen,"Sheen, Fulton J.",,"=""8864096078""","=""9788864096070""",0,0.0,Fede & Cultura,Kindle Edition,249,2018,,,2019/02/11,to-read,to-read (#29),to-read,,,,0,0
19552577,Finding True Happiness,Fulton J. Sheen,"Sheen, Fulton J.",,"=""1937509370""","=""9781937509378""",0,4.34,Wellspring,Paperback,80,2013,2013,,2019/02/11,to-read,to-read (#28),to-read,,,,0,0
7498131,La banalità del male: Eichmann a Gerusalemme,Hannah Arendt,"Arendt, Hannah",Piero Bernardini,"=""8807816407""","=""9788807816406""",0,4.20,Feltrinelli,Paperback,314,2009,1963,,2019/02/11,to-read,to-read (#26),to-read,,,,0,0
9727881,Le origini del totalitarismo,Hannah Arendt,"Arendt, Hannah",,"=""880620064X""","=""9788806200640""",0,4.30,Einaudi,Paperback,710,2009,1951,,2019/02/11,to-read,to-read (#25),to-read,,,,0,0
12000353,Interpreting Nietzsche: Reception and Influence,Ashley Woodward,"Woodward, Ashley",,"=""1441120041""","=""9781441120045""",0,3.75,Continuum,Paperback,240,2011,2011,,2019/02/11,to-read,to-read (#24),to-read,,,,0,0
10887550,The Exegesis of Philip K. Dick,Philip K. Dick,"Dick, Philip K.",Pamela Jackson,"=""0547549253""","=""9780547549255""",0,4.16,Mariner Books,Hardcover,976,2011,2011,,2019/02/07,to-read,to-read (#23),to-read,,,,0,0
43578148,"Tra le ceneri di questo pianeta: L'orrore della filosofia, la filosofia dell'orrore",Eugene Thacker,"Thacker, Eugene",Claudio Kulesko,"=""8880560514""","=""9788880560517""",0,3.68,Nero Produzioni,Paperback,184,2019,2011,,2019/02/06,to-read,to-read (#22),to-read,,,,0,0
36305580,Del comunismo ateo,Pope Pius XI,"XI, Pope Pius",,"=""""","=""""",5,5.00,Gregoriana Padova,Paperback,,1927,,2019/01/28,2017/09/25,"apologesi, religione","apologesi (#8), religione (#26)",read,,true,,2,0
43668969,Sei opuscoli spirituali,Ugo Di San Vittore,"Vittore, Ugo Di San",,"=""8870948943""","=""9788870948943""",0,0.0,ESD,Paperback,0,2016,,,2019/01/21,to-read,to-read (#20),to-read,,,In pdf,0,0
12499208,La paura del saggio,Patrick Rothfuss,"Rothfuss, Patrick",Gabriele Giorgi,"=""8834717791""","=""9788834717790""",0,4.55,Fanucci,Hardcover,1141,2011,2011,,2019/01/21,"to-read, avventura, fantasy","to-read (#19), avventura (#8), fantasy (#11)",to-read,,,,0,0
35105855,"Simulacri e impostura. Bestie, Beaubourg, apparenze e altri oggetti",Jean Baudrillard,"Baudrillard, Jean",,"=""8895563026""","=""9788895563022""",0,3.93,Pgreco,Paperback,0,,,,2019/01/06,"stopped, filosofia","stopped (#5), filosofia (#1)",stopped,,,In biblioteca,0,0
18414,Utopia,Thomas More,"More, Thomas",Paul  Turner,"=""0140449108""","=""9780140449105""",4,3.55,Penguin Classics,Paperback,113,2003,1516,2019/01/21,2017/09/22,filosofia,filosofia (#3),read,,,,2,0
32702625,Hania. La strega muta,Silvana De Mari,"Mari, Silvana De",,"=""8809847504""","=""9788809847507""",5,3.72,Giunti,Kindle Edition,271,2016,2016,2019/01/20,2017/09/25,"fantasy, avventura","fantasy (#10), avventura (#7)",read,,,,1,0
18843078,La penitenza (Italian Edition),Sant Ambrogio,"Ambrogio, Sant",,"=""1783362286""","=""9781783362288""",0,3.50,limovia.net,Paperback,116,2013,2013,,2019/01/19,to-read,to-read (#18),to-read,,,,0,0
36305579,"Where you now stand, the Lourdes sermons of J. C. McQuaid D.D., Archbishop of Dublin",M. Ó Ciardubháin,"Ciardubháin, M. Ó",,"=""1910179450""","=""9781910179451""",2,2.00,eprint,Paperback,,2015,,2019/01/14,2017/09/25,religione,religione (#25),read,,true,"E' un libro di omelie spiccie. Ne ho letto una parte, fino a pagina 47, ma non ho trovato nulla di che",1,0
22521988,Voglio la mamma,Mario Adinolfi,"Adinolfi, Mario",,"=""""","=""""",4,4.20,Youcanprint,Kindle Edition,,2014,2014,,2014/06/17,apologesi,apologesi (#7),read,,,,1,0
22994865,La caduta del diavolo,Anselm of Canterbury,"Canterbury, Anselm of","Anselmo d'Aosta, Elia Giacobbe, Giancarlo Marchetti","=""8845256707""","=""9788845256707""",4,4.00,Bompiani,Paperback,206,2006,,,2014/08/19,apologesi,apologesi (#6),read,,,,1,0
23344050,Non è Francesco. La Chiesa nella grande tempesta,Antonio Socci,"Socci, Antonio",,"=""8804646632""","=""9788804646631""",4,3.45,Mondadori,Hardcover,296,2014,2014,,2014/10/27,apologesi,apologesi (#5),read,,,,1,0
